Name,AS,PSR,ACSINS,ELISA,BVP,Outcome
abituzumab,0.06,0.17,1.5,1.14,2.72,Terminated
abrilumab,0.03,0,-0.9,1.12,1.82,Terminated
adalimumab,0.05,0,1.1,1.08,1.49,Approved
alemtuzumab,0.06,0,-0.8,1.16,1.46,Approved
alirocumab,0.03,0,1.2,1.2,2.18,Approved
anifrolumab,0.07,0,-0.6,1.16,1.62,Approved
atezolizumab,0.06,0.07,15,1.29,6.2,Approved
bapineuzumab,0.07,0,-0.7,1.21,3.55,Terminated
basiliximab,0.05,0.4,28.8,1.2,2.14,Approved
belimumab,0.13,0,0.8,3.61,12.23,Approved
benralizumab,0.02,0.35,6,1.23,1.42,Approved
bevacizumab,0.22,0,0.8,1.29,2.78,Approved
bococizumab,0.07,0.76,29.6,13.5,18.88,Terminated
brentuximab,0,0.25,-0.5,4.21,2.24,Approved
briakinumab,0.11,0.56,29.6,4.83,10.22,Terminated
brodalumab,0.02,0.27,11.2,1.48,2.93,Approved
canakinumab,0.04,0,0.7,1.2,2.55,Approved
carlumab,0.07,0.21,-0.4,2.76,8.88,Terminated
certolizumab,0.04,0,0.2,1.14,1.65,Approved
cetuximab,0.05,0,1.3,1.09,1.09,Approved
cixutumumab,0.16,0.66,29.6,3.77,11.9,Terminated
dacetuzumab,0,0,0,1.08,1.34,Terminated
daclizumab,0.03,0,-0.1,1.18,1.41,Approved
dalotuzumab,0.15,0.4,13.7,2.9,8.25,Terminated
daratumumab,0.06,0,1.8,1.21,3.15,Approved
denosumab,0.01,0,5.9,5.92,17.75,Approved
dinutuximab,0.01,0.3,3.6,1.03,1.69,Approved
drozitumab,0.03,0,29.6,1.1,1.48,Terminated
duligotuzumab,0.06,0.33,29.6,8.54,9.63,Terminated
dupilumab,0.03,0.15,10.8,8.69,19.27,Approved
eculizumab,0.01,0,0,0.96,3,Approved
efalizumab,0,0,0.7,0.98,1.24,Approved
eldelumab,0.1,0,1.2,1.11,1.75,Terminated
elotuzumab,0,0,-0.2,0.98,1.26,Approved
emibetuzumab,0.04,0.64,29.6,3.3,8.33,Terminated
enokizumab,0.09,0.13,1.5,1.17,3.24,Terminated
epratuzumab,0.03,0.13,3,1.47,2.34,Terminated
evolocumab,0.03,0.2,2.2,1.75,1.75,Approved
fezakinumab,0.07,0.26,2.5,1.15,2.15,Terminated
figitumumab,0.06,0.38,29.6,2.89,5.65,Terminated
fletikumab,0.02,0,-0.1,1.02,1.41,Terminated
fulranumab,0.07,0.19,11.6,1.85,6.92,Terminated
galiximab,0.03,0,1.1,1.21,3.81,Terminated
gemtuzumab,0.05,0,1,1.08,1.7,Approved
glembatumumab,0.3,0.17,28.9,1.06,2.22,Terminated
golimumab,0.06,0.23,23,1.31,2.71,Approved
guselkumab,0.19,0.47,3.4,1.54,5.87,Approved
ibalizumab,0.04,0,-0.3,0.99,1.13,Approved
imgatuzumab,0.07,0,0.9,5.01,11.77,Terminated
infliximab,0.18,0,29.6,1.04,1.37,Approved
inotuzumab,0.03,0.25,4,3.18,5.4,Approved
ipilimumab,0.04,0.23,10.4,1.05,1.69,Approved
ixekizumab,0.16,0.81,20,8.8,10.4,Approved
lampalizumab,0.09,0,0.5,1.11,1.34,Terminated
lintuzumab,0.05,0,0.9,1.05,1.25,Terminated
lumiliximab,0.07,0.14,1.4,1.14,2.22,Terminated
matuzumab,0.02,0,-0.9,1.06,1.03,Terminated
mepolizumab,0.04,0,-1,1.13,1.05,Approved
